parameter,value,unit,module,source_tag,uncertainty_level,calibration_status
GINI_FISCAL_SENS,-60,dimensionless,gim.core.calibration_params,PRIOR,high,prior
GINI_GROWTH_SENS,6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
GINI_MAX,70,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
GINI_MIN,20,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
GINI_RECESSION_SENS,4,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
GINI_RECESSION_TENSION_OFFSET,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
GINI_TENSION_REF,0.4,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
GINI_TENSION_SENS,1.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
HEAT_CAP_DEEP,100,dimensionless,gim.core.calibration_params,DICE16,medium,unspecified
HEAT_CAP_SURFACE,30,dimensionless,gim.core.calibration_params,BACKTEST,medium,backtest
INEQUALITY_EFFECT_SENS,0.0005,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
MAX_NEW_DEBT_GDP,0.05,dimensionless,gim.core.calibration_params,WEO25,low,validated
MIGRATION_BASE_RATE,0.001,dimensionless,gim.core.calibration_params,PRIOR,high,prior
MIGRATION_CONFLICT_PUSH_W,0.4,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
MIGRATION_DEST_CONFLICT_DAMP,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
MIGRATION_INCOME_PUSH_W,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
MIGRATION_MAX_SHARE,0.003,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
MILITARY_SPEND_BASE,0.035,dimensionless,gim.core.calibration_params,SIPRI23,low,validated
OBS_MAX_NEIGHBORS,8,count,gim.core.calibration_params,PRIOR,high,prior
OCEAN_EXCHANGE,0.7,dimensionless,gim.core.calibration_params,DICE16,medium,unspecified
POLICY_LOG_DEPTH,3,count,gim.core.calibration_params,PRIOR,high,prior
POLICY_REDUCTION_MAX,0.9,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
PROSPERITY_LOGIT_SENS,1.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
PROTEST_RISK_DISTRUST_W,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,prior
PROTEST_RISK_FRAGILITY_BASE,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
PROTEST_RISK_FRAGILITY_SENS,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
PROTEST_RISK_GINI_W,0.1,dimensionless,gim.core.calibration_params,PRIOR,high,prior
PROTEST_RISK_TENSION_W,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,prior
RATE_MAX,0.35,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
RATE_SPREAD_CAP,0.25,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
RD_SPENDING_DECAY,0.85,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
REGIME_COLLAPSE_CAPITAL_MULT,0.7,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
REGIME_COLLAPSE_DEBT_MULT,0.7,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
REGIME_COLLAPSE_GDP_MULT,0.8,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
REGIME_COLLAPSE_STABILITY_HIT,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
REGIME_COLLAPSE_TENSION_CAP,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
REGIME_COLLAPSE_TENSION_THRESHOLD,0.8,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
REGIME_COLLAPSE_TRUST_FLOOR,0.25,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
REGIME_COLLAPSE_TRUST_THRESHOLD,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,prior
REGIME_CRISIS_MAX_YEARS,5,count,gim.core.calibration_params,DATA plateau-guardrail,medium,data
REGIME_CRISIS_PERSIST_CAPITAL_MULT,0.975,dimensionless,gim.core.calibration_params,DATA plateau-guardrail,medium,data
REGIME_CRISIS_PERSIST_GDP_MULT,0.96,dimensionless,gim.core.calibration_params,DATA plateau-guardrail,medium,data
RESILIENCE_ADAPT_REF,0.03,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
RESILIENCE_ADAPT_W,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
RESILIENCE_STABILITY_W,0.4,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
RESILIENCE_TECH_REF,2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
RESILIENCE_TECH_W,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
RESILIENCE_TRUST_W,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
SAVINGS_BASE,0.24,dimensionless,gim.core.calibration_params,WDI23,low,validated
SAVINGS_BASELINE_OFFSET,0.7,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
SAVINGS_MAX,0.4,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
SAVINGS_MIN,0.05,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
SAVINGS_STABILITY_SENS,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
SAVINGS_TENSION_SENS,0.4,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
SOCIAL_SPEND_BASE,0.15,dimensionless,gim.core.calibration_params,WDI23,low,validated
SOCIAL_STRESS_INFLATION_SENS,0.005,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
SOCIAL_STRESS_UNEMPLOYMENT_SENS,0.01,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
SOCIAL_TRUST_ANCHOR_REF,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
SOCIAL_TRUST_ANCHOR_SENS,0.06,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
STRUCTURAL_TRANSITION_MULT_MAX,1.15,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
STRUCTURAL_TRANSITION_MULT_MIN,1,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
STRUCTURAL_TRANSITION_POLICY_SENS,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,prior
STRUCTURAL_TRANSITION_TAX_SENS,0.05,dimensionless,gim.core.calibration_params,PRIOR,high,prior
TAX_RATE_BASE,0.22,dimensionless,gim.core.calibration_params,WDI23,low,validated
TECH_DECARB_K,0.12,dimensionless,gim.core.calibration_params,PRIOR,high,prior
TECH_OUTPUT_SENS,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
TEMP_BACKTEST_ENSEMBLE_SIZE,8,count,gim.core.calibration_params,BACKTEST,medium,backtest
TEMP_NATURAL_VARIABILITY_SIGMA,0.08,dimensionless,gim.core.calibration_params,BACKTEST,medium,backtest
TFP_DIFFUSION_SENS,0.02,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
TFP_DRIFT,0.01,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
TFP_GROWTH_MAX,0.05,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
TFP_GROWTH_MIN,-0.05,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
TFP_RD_SHARE_SENS,0.5,dimensionless,gim.core.calibration_params,BACKTEST,medium,backtest
TFP_TRADE_SPILLOVER_SENS,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,prior
TRUST_GDP_PC_REF,10000,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
TRUST_GDP_PC_SENS,5e-05,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
TRUST_GINI_SENS,-0.0004,dimensionless,gim.core.calibration_params,PRIOR,high,prior
TRUST_INFLATION_SENS,-0.025,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
TRUST_TENSION_SENS,-0.08,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
TRUST_TENSION_THRESHOLD,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
TRUST_UNEMPLOYMENT_SENS,-0.025,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
