parameter,value,unit,module,source_tag,uncertainty_level,calibration_status
INFLATION_MAX,0.3,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
INFLATION_MIN,-0.02,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
INFLATION_TARGET,0.02,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
LAND_USE_CO2_GTCO2_YR,0.6,dimensionless,gim.core.calibration_params,GCB2023,unspecified,unspecified
MARKET_CLEARING,true,bool,gim.core.calibration_params,F2.2/E3,unspecified,unspecified
MARKET_DEMAND_ELASTICITY,0.4,dimensionless,gim.core.calibration_params,F2.2,unspecified,unspecified
MAX_NEW_DEBT_GDP,0.05,dimensionless,gim.core.calibration_params,WEO25,low,validated
METALS_DEMAND_INCOME_ELASTICITY,0.7,dimensionless,gim.core.calibration_params,F2.4,unspecified,unspecified
METALS_DEMAND_POP_ELASTICITY,0,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
MIGRATION_BASE_RATE,0.001,dimensionless,gim.core.calibration_params,PRIOR,high,prior
MIGRATION_CONFLICT_PUSH_W,0.4,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
MIGRATION_DEST_CONFLICT_DAMP,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
MIGRATION_INCOME_PUSH_W,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
MIGRATION_MAX_SHARE,0.003,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
MILEX_CINC_COMPONENT,true,bool,gim.core.calibration_params,F3+,unspecified,unspecified
MILITARY_SPEND_BASE,0.035,dimensionless,gim.core.calibration_params,SIPRI23,low,validated
MONEY_INFLATION_PASS,0.027,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
NAIRU,0.045,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
NESTED_CES,true,bool,gim.core.calibration_params,F2.1/E3.1,unspecified,unspecified
NESTED_CES_EMISSIONS_NORM,1.056,dimensionless,gim.core.calibration_params,BACKTEST,medium,unspecified
OBS_MAX_NEIGHBORS,8,count,gim.core.calibration_params,PRIOR,high,prior
OCEAN_EXCHANGE,1,dimensionless,gim.core.calibration_params,BACKTEST,medium,unspecified
OKUN_COEFF,0.3,dimensionless,gim.core.calibration_params,OKUN,unspecified,unspecified
PHILLIPS_SLOPE,0.25,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
POLICY_LOG_DEPTH,3,count,gim.core.calibration_params,PRIOR,high,prior
POLICY_REDUCTION_MAX,0.9,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
POTENTIAL_OUTPUT_GROWTH,0.025,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
PRICE_ADJUST_ALPHA,0.15,dimensionless,gim.core.calibration_params,F2.2,unspecified,unspecified
PRICE_ANCHOR_PULL,0.15,dimensionless,gim.core.calibration_params,F2.3,unspecified,unspecified
PROSPERITY_LOGIT_SENS,1.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
PROTEST_RISK_DISTRUST_W,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,prior
PROTEST_RISK_FRAGILITY_BASE,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
PROTEST_RISK_FRAGILITY_SENS,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
PROTEST_RISK_GINI_W,0.1,dimensionless,gim.core.calibration_params,PRIOR,high,prior
PROTEST_RISK_TENSION_W,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,prior
PURE_TIME_PREFERENCE,0.015,dimensionless,gim.core.calibration_params,DICE16,medium,unspecified
RATE_MAX,0.35,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
RATE_SPREAD_CAP,0.25,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
RD_SPENDING_DECAY,0.85,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
RD_STOCK_DEPRECIATION,0.15,dimensionless,gim.core.calibration_params,LIT,unspecified,unspecified
RD_STOCK_GROWTH,false,bool,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
REGIME_COLLAPSE_CAPITAL_MULT,0.7,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
REGIME_COLLAPSE_DEBT_MULT,0.7,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
REGIME_COLLAPSE_GDP_MULT,0.8,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
REGIME_COLLAPSE_STABILITY_HIT,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
REGIME_COLLAPSE_TENSION_CAP,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
REGIME_COLLAPSE_TENSION_THRESHOLD,0.8,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
REGIME_COLLAPSE_TRUST_FLOOR,0.25,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
REGIME_COLLAPSE_TRUST_THRESHOLD,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,prior
REGIME_CRISIS_MAX_YEARS,5,count,gim.core.calibration_params,DATA plateau-guardrail,medium,data
REGIME_CRISIS_PERSIST_CAPITAL_MULT,0.975,dimensionless,gim.core.calibration_params,DATA plateau-guardrail,medium,data
REGIME_CRISIS_PERSIST_GDP_MULT,0.96,dimensionless,gim.core.calibration_params,DATA plateau-guardrail,medium,data
RESILIENCE_ADAPT_REF,0.03,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
RESILIENCE_ADAPT_W,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
RESILIENCE_STABILITY_W,0.4,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
RESILIENCE_TECH_REF,2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
RESILIENCE_TECH_W,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
RESILIENCE_TRUST_W,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
RESOURCE_DEMAND_GROWTH_MAX,1.25,dimensionless,gim.core.calibration_params,F2.4,unspecified,unspecified
RESOURCE_DEMAND_GROWTH_MIN,0.8,dimensionless,gim.core.calibration_params,F2.4,unspecified,unspecified
SAVINGS_BASE,0.24,dimensionless,gim.core.calibration_params,WDI23,low,validated
SAVINGS_BASELINE_OFFSET,0.7,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
SAVINGS_MAX,0.4,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
SAVINGS_MIN,0.05,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
SAVINGS_STABILITY_SENS,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
SAVINGS_TENSION_SENS,0.4,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
SFC_ACCEL_SENS,0.5,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
SFC_CREDIT_APPETITE,0.1,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
SFC_FINANCE,true,bool,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
SFC_INIT_LEVERAGE,1,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
SFC_LEVERAGE_REF,1.5,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
SFC_PREMIUM_CAP,0.1,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
SFC_PREMIUM_SENS,0.04,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
SFC_REPAY_RATE,0.08,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
SOCIAL_SPEND_BASE,0.15,dimensionless,gim.core.calibration_params,WDI23,low,validated
SOCIAL_STRESS_INFLATION_SENS,0.005,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
SOCIAL_STRESS_UNEMPLOYMENT_SENS,0.01,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
SOCIAL_TRUST_ANCHOR_REF,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
SOCIAL_TRUST_ANCHOR_SENS,0.06,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
SSP_FORWARD_FROM_YEAR,2024,count,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
SSP_FORWARD_GROWTH,true,bool,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
SSP_FORWARD_TFP_DRIFT,0.018,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
SSP_SCENARIO,SSP2,text,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
STRUCTURAL_TRANSITION_MULT_MAX,1.15,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
STRUCTURAL_TRANSITION_MULT_MIN,1,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
STRUCTURAL_TRANSITION_POLICY_SENS,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,prior
STRUCTURAL_TRANSITION_TAX_SENS,0.05,dimensionless,gim.core.calibration_params,PRIOR,high,prior
TAX_RATE_BASE,0.22,dimensionless,gim.core.calibration_params,WDI23,low,validated
TAYLOR_DEVIATION_CAP,0.06,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
TAYLOR_PHI_PI,0.5,dimensionless,gim.core.calibration_params,TAYLOR1993,unspecified,unspecified
TAYLOR_PHI_Y,0.5,dimensionless,gim.core.calibration_params,TAYLOR1993,unspecified,unspecified
TECH_DECARB_K,0.12,dimensionless,gim.core.calibration_params,PRIOR,high,prior
TECH_OUTPUT_SENS,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
TEMP_BACKTEST_ENSEMBLE_SIZE,8,count,gim.core.calibration_params,BACKTEST,medium,backtest
TEMP_NATURAL_VARIABILITY_AR1_RHO,0.13,dimensionless,gim.core.calibration_params,DATA,medium,data
TEMP_NATURAL_VARIABILITY_SIGMA,0.088,dimensionless,gim.core.calibration_params,DATA,medium,data
TFP_CONVERGENCE_GAP_CAP,4,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
TFP_CONVERGENCE_SE,0.0039,dimensionless,gim.core.calibration_params,DATA,unspecified,unspecified
TFP_CONVERGENCE_SENS,0.0093,dimensionless,gim.core.calibration_params,DATA validated,unspecified,unspecified
TFP_DIFFUSION_SENS,0.02,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
TFP_DRIFT,0.01,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
TFP_GROWTH_MAX,0.05,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
TFP_GROWTH_MIN,-0.05,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
TFP_RD_SHARE_SENS,0.3,dimensionless,gim.core.calibration_params,BACKTEST,medium,backtest
TFP_RD_STOCK_ELASTICITY,0.5,dimensionless,gim.core.calibration_params,LIT/DATA,unspecified,unspecified
TFP_RD_STOCK_SENS,0.0141,dimensionless,gim.core.calibration_params,CALIBRATED,unspecified,unspecified
TFP_TRADE_SPILLOVER_SENS,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,prior
TRADE_GRAVITY_DIST_ELASTICITY,0.9,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
TRADE_GRAVITY_INIT,true,bool,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
TRUST_ANCHOR_PULL,0,dimensionless,gim.core.calibration_params,F-social,unspecified,unspecified
TRUST_GDP_PC_REF,10000,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
TRUST_GDP_PC_SENS,5e-05,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
TRUST_GINI_SENS,-0.0004,dimensionless,gim.core.calibration_params,DATA: negative inequality->trust gradient; Gould & Hijzen 2016 IMF WP/16/176,medium,data
TRUST_GINI_UNEMP_INTERACT,0,dimensionless,gim.core.calibration_params,DATA on-value ~0.02,unspecified,unspecified
TRUST_INFLATION_SENS,-0.015,dimensionless,gim.core.calibration_params,DATA: misery-index 2:1 weighting,medium,data
TRUST_TENSION_SENS,-0.08,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
TRUST_TENSION_THRESHOLD,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
TRUST_UNEMPLOYMENT_SENS,-0.03,dimensionless,gim.core.calibration_params,DATA: misery-index 2:1 weighting vs inflation,medium,data
UNEMPLOYMENT_MAX,0.35,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
UNEMPLOYMENT_MIN,0.01,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
UNEMP_ADJ_SPEED,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
